RAM stockid,Old Area,New Area
BRMSPPCWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
THREADCWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
CHMACKCWAGNB-LBR,unk:multinational-FAO-CWAGNB-LBR,fao:34.3.13;fao:34.3.3
BCROAKCWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
SCADSPPCWAGNB-LBR,unk:multinational-FAO-CWAGNB-LBR,fao:34.3.13;fao:34.3.3
SARDINCWAGNB-LBR,unk:multinational-FAO-CWAGNB-LBR,fao:34.3.13;fao:34.3.3
SOLECWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
DRSHRIMPCWA,unk:multinational-FAO-CWA,fao:34.3.13;fao:34.3.3;fao:34.3.4;fao:34.3.5;fao:34.3.6;fao:47.1.1;fao:47.1.2;fao:47.1.3
CSHRIMPCWA,unk:multinational-FAO-CWA,fao:34.3.13;fao:34.3.3;fao:34.3.4;fao:34.3.5;fao:34.3.6;fao:47.1.1;fao:47.1.2;fao:47.1.3
ANCHOCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
CROAKSPPCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
BRMSPPCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
THREADCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
BGRUNTCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
RPANDCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
MSARDCWACIV-BEN,unk:multinational-FAO-CWACIV-BEN,fao:34.3.4
BLSHARSATL,iccat:ALB_S;iccat:SWO_S,fao:34.3.6;fao:34.4.1;fao:41;fao:47
SFMAKOSATL,iccat:ALB_S;iccat:SWO_S,fao:34.3.6;fao:34.4.1;fao:41;fao:47
LDENTCWAAGO,unk:multinational-FAO-CWAAGO,fao:47.1.1;fao:47.1.2;fao:47.1.3
BHAKECWAAGO,unk:multinational-FAO-CWAAGO,fao:47.1.1;fao:47.1.2;fao:47.1.3
SOLECWAAGO,unk:multinational-FAO-CWAAGO,fao:47.1.1;fao:47.1.2;fao:47.1.3
SFMAKONWPAC,unk:multinational-UNKNOWN-NWPAC,fao:61
CSALMCOLR,unk:USA-WASTATE-COLR,"fao:61,fao:67,fao:77;usa_huc:"
SSALMCOLR,unk:USA-WASTATE-COLR,"fao:61,fao:67,fao:77;usa_huc:"
CSALMSSOUNDFR,unk:USA-WASTATE-SSOUNDFR,"fao:61,fao:67,fao:77;usa_huc:"
CSALMSSOUNDSR,unk:USA-WASTATE-SSOUNDSR,"fao:61,fao:67,fao:77;usa_huc:"
CSALMSSOUNDWR,unk:USA-WASTATE-SSOUNDWR,"fao:61,fao:67,fao:77;usa_huc:"
SSALMQUIN,unk:USA-WASTATE-QUIN,"fao:61,fao:67,fao:77;usa_huc:17100102"
CSALMGRAYH,unk:USA-WASTATE-GRAYH,"fao:61,fao:67,fao:77;usa_huc:17100105"
CSALMWILLB,unk:USA-WASTATE-WILLB,"fao:61,fao:67,fao:77;usa_huc:17100106"
PSALMNOOKSPS,unk:USA-WASTATE-NOOKSPS,"fao:61,fao:67,fao:77;usa_huc:17110004"
CSALMNSR,unk:USA-WASTATE-NSR,"fao:61,fao:67,fao:77;usa_huc:17110004;usa_huc:1711000203"
PSALMSKAGPS,unk:USA-WASTATE-SKAGPS,"fao:61,fao:67,fao:77;usa_huc:17110005;usa_huc:17110007"
CSALMSKAGR,unk:USA-WASTATE-SKAGR,"fao:61,fao:67,fao:77;usa_huc:17110005;usa_huc:17110007"
PSALMSTILLAPS,unk:USA-WASTATE-STILLAPS,"fao:61,fao:67,fao:77;usa_huc:17110008"
CSALMSSR,unk:USA-WASTATE-SSR,"fao:61,fao:67,fao:77;usa_huc:17110008;usa_huc:17110011"
PSALMSNOHPS,unk:USA-WASTATE-SNOHPS,"fao:61,fao:67,fao:77;usa_huc:17110011"
PSALMPUYALLUPPS,unk:USA-WASTATE-PUYALLUPPS,"fao:61,fao:67,fao:77;usa_huc:17110014"
PSALMNISQPS,unk:USA-WASTATE-NISQPS,"fao:61,fao:67,fao:77;usa_huc:17110015"
CSALMHOODC,unk:USA-WASTATE-HOODC,"fao:61,fao:67,fao:77;usa_huc:17110018"
PSALMHHAMMAHC,unk:USA-WASTATE-HHAMMAHC,"fao:61,fao:67,fao:77;usa_huc:171100180202"
PSALMDUCKA,unk:USA-WASTATE-DUCKA,"fao:61,fao:67,fao:77;usa_huc:1711001804"
PSALMDOSEWHC,unk:USA-WASTATE-DOSEWHC,"fao:61,fao:67,fao:77;usa_huc:1711001805"
