RAM stockid,Old Area,New Area
SSALMSALTERYL,unk:USA-AKSTATE-SALTERYL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_salteryl
SSALMSANDYR,unk:USA-AKSTATE-SANDYR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_sandyr
SSALMSITUKR,unk:USA-AKSTATE-SITUKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_situkr
SSALMSPEELL,unk:USA-AKSTATE-SPEELL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_speell
SSALMSTIKINE,unk:USA-AKSTATE-STIKINE,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_stikine
SSALMTAHLTAN,unk:USA-AKSTATE-TAHLTAN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_tahltan
SSALMTAKUR,unk:USA-AKSTATE-TAKUR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_takur
SSALMTOGIAK,unk:USA-AKSTATE-TOGIAK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_togiak
SSALMUCOOKI,unk:USA-AKSTATE-UCOOKI,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_ucooki
SSALMUGANIKL,unk:USA-AKSTATE-UGANIKL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_uganikl
SSALMUGASHIK,unk:USA-AKSTATE-UGASHIK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_ugashik
SSALMWOOD,unk:USA-AKSTATE-WOOD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_wood
SARDPCOAST,unk:USA-NMFS-PCOAST,fao:67;fao:77
CHTRACCH,unk:multinational-SPRFMO-CH,fao:87
SPHAKECH,unk:Chile-SUBPESCA-CH-CS,fao:87.2.13;fao:87.2.14;fao:87.2.15;fao:87.2.16;fao:87.2.17;fao:87.2.23;fao:87.2.24;fao:87.2.25;fao:87.2.26;fao:87.2.27;fao:87.3.11;fao:87.3.21
ANCHMEDGSA1,gfcm:1,gfcm:1
RMULLMEDGSA1,gfcm:1,gfcm:1
SARDMEDGSA1,gfcm:1,gfcm:1
RBRMMEDGSA1-3,gfcm:1;gfcm:2;gfcm:3,gfcm:1;gfcm:2;gfcm:3
WANGLGSA1-7,gfcm:1;gfcm:2;gfcm:3;gfcm:4;gfcm:5;gfcm:6;gfcm:7,gfcm:1;gfcm:2;gfcm:3;gfcm:4;gfcm:5;gfcm:6;gfcm:7
RMULLMEDGSA10,gfcm:10,gfcm:10
SMSHRMPMEDGSA10,gfcm:10,gfcm:10
RSHRMPMEDGSA9-11,gfcm:10;gfcm:11;gfcm:9,gfcm:10;gfcm:11;gfcm:9
RMULLMEDGSA11,gfcm:11,gfcm:11
RMULLMEDGSA15-16,gfcm:15;gfcm:16,gfcm:15;gfcm:16
SMULLMEDGSA15-16,gfcm:15;gfcm:16,gfcm:15;gfcm:16
RMULLMEDGSA17-18,gfcm:17;gfcm:18,gfcm:17;gfcm:18
SMSHRMPMEDGSA17-18,gfcm:17;gfcm:18,gfcm:17;gfcm:18
RSHRMPMEDGSA17-19,gfcm:17;gfcm:18;gfcm:19,gfcm:17;gfcm:18;gfcm:19
RMULLMEDGSA19,gfcm:19,gfcm:19
HAKEMEDGSA20,gfcm:20,gfcm:20
SARDMEDGSA20,gfcm:20,gfcm:20
ANCHMEDGSA29,gfcm:29,gfcm:29
SPRBLKGSA29,gfcm:29,gfcm:29
RMULLMEDGSA5,gfcm:5,gfcm:5
RDSHRMPMEDGSA6-7,unk:multinational-GFCM-GSA6-7,gfcm:6;gfcm:7
HAKEMEDGSA8-11,unk:multinational-GFCM-GSA8-11,gfcm:8;gfcm:9;gfcm:10;gfcm:11
RMULLMEDGSA9,gfcm:9,gfcm:9
SARDMEDGSA9,gfcm:9,gfcm:9
SMSHRMPMEDGSA9,gfcm:9,gfcm:9
SMULLMEDGSA9,gfcm:9,gfcm:9
ACMACKSARG,unk:Argentina-CFP-ARG-S,grsf:ARG_EEZ_39S_VMA
ARGANCHONARG,unk:Argentina-CFP-ARG-N,grsf:ARG_EEZ_N_ANA
ARGHAKENARG,unk:Argentina-CFP-ARG-N,grsf:ARG_EEZ_N_HKP
ARGANCHOSARG,unk:Argentina-CFP-ARG-S,grsf:ARG_EEZ_S_ANA
PCEELARGS,unk:Argentina-CFP-ARG-S,grsf:ARG_EEZ_S_CUS
ARGHAKESARG,unk:Argentina-CFP-ARG-S,grsf:ARG_EEZ_S_HKP
SBWHITARGS,unk:Argentina-CFP-ARG-S,grsf:ARG_FLK_EEZ_SWA_POS
PATCODARGS,unk:Argentina-CFP-ARG-S,grsf:Argentina_CFP_ARG_S
BGRDRSE,unk:Australia-AFMA-SE,grsf:AUS_BGRDRSE
BTSHRIMPNAUST,unk:Australia-AFMA-NAUST,grsf:AUS_BTSHRIMPNAUST
GTPRAWNNAUST,unk:Australia-AFMA-NAUST,grsf:AUS_GTPRAWNNAUST
MULLQNSW,unk:Australia-DPIF-QNSW,grsf:AUS_MULLQNSW
PTOOTHFISHMI,unk:Australia-AFMA-MI,grsf:AUS_PTOOTHFISHMI
RROCKLOBSTERSAUSNZ,unk:Australia-SARDI-SAUSNZ,grsf:AUS_RROCKLOBSTERSAUSNZ
RROCKLOBSTERSAUSSZ,unk:Australia-SARDI-SAUSSZ,grsf:AUS_RROCKLOBSTERSAUSSZ
SNAPSAUSNSG,unk:Australia-SARDI-SAUSNSG,grsf:AUS_SNAPSAUSNSG
SNAPSAUSSGSV,unk:Australia-SARDI-SAUSSGSV,grsf:AUS_SNAPSAUSSGSV
SNAPSAUSSSG,unk:Australia-SARDI-SAUSSSG,grsf:AUS_SNAPSAUSSSG
TASGIANTCRABTAS,unk:Australia-AFMA-TAS,grsf:AUS_TASGIANTCRABTAS
REDFEAUS,unk:Australia-AFMA-EAUS,grsf:Australia_AFMA_EAUS
MORWONGESE,unk:Australia-AFMA-ESE,grsf:Australia_AFMA_ESE
BGRDRNSWWA,unk:Australia-AFMA-NSWWA,grsf:Australia_AFMA_NSWWA
MORWONGWSE,unk:Australia-AFMA-WSE,grsf:Australia_AFMA_WSE
SARDWSE,unk:Australia-SARDI-WSE,grsf:Australia_SARDI_WSE
QROCKPCOASTIN,unk:Canada-DFO-PCOASTIN,grsf:can_dfo_pfmc_inva
QROCKPCOASTOUT,unk:Canada-DFO-PCOASTOUT,grsf:can_dfo_pfmc_outva
ARCSURFBANQ,unk:Canada-DFO-BANQ,grsf:CAN_DFO_SFA27_BANQ
EULAPCOASTCCDU,unk:Canada-DFO-PCOASTCCDU,grsf:CAN_EULAPCOASTCCDU
EULAPCOASTFRDU,unk:Canada-DFO-PCOASTFRDU,grsf:CAN_EULAPCOASTFRDU
EULAPCOASTNSDU,unk:Canada-DFO-PCOASTNSDU,grsf:CAN_EULAPCOASTNSDU
HERRCC,unk:Canada-DFO-CC,grsf:CAN_HERRCC
HERRNFLDESC,unk:Canada-DFO-NFLDESC,grsf:CAN_HERRNFLDESC
HERRPRD,unk:Canada-DFO-PRD,grsf:CAN_HERRPRD
HERRQCI,unk:Canada-DFO-QCI,grsf:CAN_HERRQCI
HERRSOG,unk:Canada-DFO-SOG,grsf:CAN_HERRSOG
HERRWCVANI,unk:Canada-DFO-WCVANI,grsf:CAN_HERRWCVANI
ESOLEHS,unk:Canada-DFO-HS,grsf:CAN_PAC_ESOLEHS
LINGCODSOG,unk:Canada-DFO-SOG,grsf:CAN_PAC_LINGCODSOG
PCODHS,unk:Canada-DFO-HS,grsf:CAN_PAC_PCODHS
PCODWCVANI,unk:Canada-DFO-WCVANI,grsf:CAN_PAC_PCODWCVANI
SARDBC,unk:Canada-DFO-PCOAST,grsf:CAN_PAC_SARDBC
ROCKCRABQCW,unk:Canada-DFO-QCW,grsf:CAN_QUE_ROCKCRABQCW
SSCLAMQCW,unk:Canada-DFO-QCW,grsf:CAN_QUE_SSCLAMQCW
WWHELKQCW,unk:Canada-DFO-QCW,grsf:CAN_QUE_WWHELKQCW
YEYEROCKPCOASTIN,unk:Canada-DFO-PCOASTIN,grsf:CAN_YEYEROCKPCOASTIN
CSALMA1,unk:Canada-DFO-A1,grsf:Canada_DFO_A1
SSALMA1,unk:Canada-DFO-A1,grsf:Canada_DFO_A1
PSALMA1,unk:Canada-DFO-A1,grsf:Canada_DFO_A1
CSALMA10,unk:Canada-DFO-A10,grsf:Canada_DFO_A10
PSALMA10,unk:Canada-DFO-A10,grsf:Canada_DFO_A10
CSALMA11,unk:Canada-DFO-A11,grsf:Canada_DFO_A11
SSALMA12,unk:Canada-DFO-A12,grsf:Canada_DFO_A12
CSALMA12,unk:Canada-DFO-A12,grsf:Canada_DFO_A12
PSALMA12,unk:Canada-DFO-A12,grsf:Canada_DFO_A12
SSALMA13,unk:Canada-DFO-A13,grsf:Canada_DFO_A13
CSALMA13,unk:Canada-DFO-A13,grsf:Canada_DFO_A13
PSALMA13,unk:Canada-DFO-A13,grsf:Canada_DFO_A13
CSALMA14,unk:Canada-DFO-A14,grsf:Canada_DFO_A14
CSALMA15,unk:Canada-DFO-A15,grsf:Canada_DFO_A15
CSALMA16,unk:Canada-DFO-A16,grsf:Canada_DFO_A16
SSALMA16,unk:Canada-DFO-A16,grsf:Canada_DFO_A16
CSALMA17,unk:Canada-DFO-A17,grsf:Canada_DFO_A17
CSALMA18,unk:Canada-DFO-A18,grsf:Canada_DFO_A18
CSALMA19,unk:Canada-DFO-A19,grsf:Canada_DFO_A19
CSALMA20,unk:Canada-DFO-A20,grsf:Canada_DFO_A20
PSALMA21-27,unk:Canada-DFO-A21-27,grsf:Canada_DFO_A21_27
CSALMA22,unk:Canada-DFO-A22,grsf:Canada_DFO_A22
CSALMA23,unk:Canada-DFO-A23,grsf:Canada_DFO_A23
CSALMA24,unk:Canada-DFO-A24,grsf:Canada_DFO_A24
CSALMA25,unk:Canada-DFO-A25,grsf:Canada_DFO_A25
CSALMA26,unk:Canada-DFO-A26,grsf:Canada_DFO_A26
CSALMA27,unk:Canada-DFO-A27,grsf:Canada_DFO_A27
SSALMA28,unk:Canada-DFO-A28,grsf:Canada_DFO_A28
CSALMA29,unk:Canada-DFO-A29,grsf:Canada_DFO_A29
PSALMA2E,unk:Canada-DFO-A2E,grsf:Canada_DFO_A2E
CSALMA2E,unk:Canada-DFO-A2E,grsf:Canada_DFO_A2E
SSALMA2E,unk:Canada-DFO-A2E,grsf:Canada_DFO_A2E
CSALMA2W,unk:Canada-DFO-A2W,grsf:Canada_DFO_A2W
PSALMA2W,unk:Canada-DFO-A2W,grsf:Canada_DFO_A2W
SSALMA2W,unk:Canada-DFO-A2W,grsf:Canada_DFO_A2W
CSALMA3,unk:Canada-DFO-A3,grsf:Canada_DFO_A3
PSALMA3,unk:Canada-DFO-A3,grsf:Canada_DFO_A3
CSALMA4,unk:Canada-DFO-A4,grsf:Canada_DFO_A4
PSALMA4,unk:Canada-DFO-A4,grsf:Canada_DFO_A4
PSALMA5,unk:Canada-DFO-A5,grsf:Canada_DFO_A5
SSALMA5,unk:Canada-DFO-A5,grsf:Canada_DFO_A5
CSALMA5,unk:Canada-DFO-A5,grsf:Canada_DFO_A5
SSALMA6,unk:Canada-DFO-A6,grsf:Canada_DFO_A6
PSALMA6,unk:Canada-DFO-A6,grsf:Canada_DFO_A6
CSALMA6,unk:Canada-DFO-A6,grsf:Canada_DFO_A6
CSALMA7,unk:Canada-DFO-A7,grsf:Canada_DFO_A7
PSALMA7,unk:Canada-DFO-A7,grsf:Canada_DFO_A7
SSALMA7,unk:Canada-DFO-A7,grsf:Canada_DFO_A7
PSALMA8,unk:Canada-DFO-A8,grsf:Canada_DFO_A8
CSALMA8,unk:Canada-DFO-A8,grsf:Canada_DFO_A8
SSALMA8,unk:Canada-DFO-A8,grsf:Canada_DFO_A8
PSALMA9,unk:Canada-DFO-A9,grsf:Canada_DFO_A9
CSALMA9,unk:Canada-DFO-A9,grsf:Canada_DFO_A9
SSALMADAMS,unk:Canada-DFO-ADAMS,grsf:Canada_DFO_ADAMS
SSALMATNARKO,unk:Canada-DFO-ATNARKO,grsf:Canada_DFO_ATNARKO
PSALMATNARKO,unk:Canada-DFO-ATNARKO,grsf:Canada_DFO_ATNARKO
SSALMBARKS,unk:Canada-DFO-BARKS,grsf:Canada_DFO_BARKS
SSALMBIRKENH,unk:Canada-DFO-BIRKENH,grsf:Canada_DFO_BIRKENH
PSALMBONDS,unk:Canada-DFO-BONDS,grsf:Canada_DFO_BONDS
SSALMBOWRON,unk:Canada-DFO-BOWRON,grsf:Canada_DFO_BOWRON
PSALMBURR,unk:Canada-DFO-BURR,grsf:Canada_DFO_BURR
PSALMBUTEI,unk:Canada-DFO-BUTEI,grsf:Canada_DFO_BUTEI
PSALMBWLAB,unk:Canada-DFO-BWLAB,grsf:Canada_DFO_BWLAB
SSALMCAYENNE,unk:Canada-DFO-CAYENNE,grsf:Canada_DFO_CAYENNE
SSALMCHILKO,unk:Canada-DFO-CHILKO,grsf:Canada_DFO_CHILKO
SSALMCHILKOS,unk:Canada-DFO-CHILKOS,grsf:Canada_DFO_CHILKOS
SSALMCHILLIW,unk:Canada-DFO-CHILLIW,grsf:Canada_DFO_CHILLIW
PSALMCHV,unk:Canada-DFO-CHV,grsf:Canada_DFO_CHV
SSALMCULTUS,unk:Canada-DFO-CULTUS,grsf:Canada_DFO_CULTUS
SSALMFENNELL,unk:Canada-DFO-FENNELL,grsf:Canada_DFO_FENNELL
SSALMGATES,unk:Canada-DFO-GATES,grsf:Canada_DFO_GATES
SSALMGATESC,unk:Canada-DFO-GATESC,grsf:Canada_DFO_GATESC
PSALMGEOHOWE,unk:Canada-DFO-GEOHOWE,grsf:Canada_DFO_GEOHOWE
PSALMHARR,unk:Canada-DFO-HARR,grsf:Canada_DFO_HARR
SSALMHARRISON,unk:Canada-DFO-HARRISON,grsf:Canada_DFO_HARRISON
PSALMHOMFROY,unk:Canada-DFO-HOMFROY,grsf:Canada_DFO_HOMFROY
PSALMHOOKC,unk:Canada-DFO-HOOKC,grsf:Canada_DFO_HOOKC
SSALMHORSEFLY,unk:Canada-DFO-HORSEFLY,grsf:Canada_DFO_HORSEFLY
SSSHRIMPICBC,unk:Canada-DFO-ICBC,grsf:Canada_DFO_ICBC
PANDALICBC,unk:Canada-DFO-ICBC,grsf:Canada_DFO_ICBC
CSALMISCFPM,unk:Canada-DFO-ISCFPM,grsf:Canada_DFO_ISCFPM
PSALMJERVISI,unk:Canada-DFO-JERVISI,grsf:Canada_DFO_JERVISI
PSALMJOHNS,unk:Canada-DFO-JOHNS,grsf:Canada_DFO_JOHNS
PSALMJOHNST,unk:Canada-DFO-JOHNST,grsf:Canada_DFO_JOHNST
SSALMKIMSQUIT,unk:Canada-DFO-KIMSQUIT,grsf:Canada_DFO_KIMSQUIT
PSALMKINGCOME,unk:Canada-DFO-KINGCOME,grsf:Canada_DFO_KINGCOME
SSALMKITLOPE,unk:Canada-DFO-KITLOPE,grsf:Canada_DFO_KITLOPE
PSALMKNIGHT,unk:Canada-DFO-KNIGHT,grsf:Canada_DFO_KNIGHT
SSALMLLAKE,unk:Canada-DFO-LLAKE,grsf:Canada_DFO_LLAKE
PSALMLOUGHB,unk:Canada-DFO-LOUGHB,grsf:Canada_DFO_LOUGHB
SSALMLSTUART,unk:Canada-DFO-LSTUART,grsf:Canada_DFO_LSTUART
PSALMMALAS,unk:Canada-DFO-MALAS,grsf:Canada_DFO_MALAS
PSALMMFRASE,unk:Canada-DFO-MFRASE,grsf:Canada_DFO_MFRASE
SSALMMITCHELL,unk:Canada-DFO-MITCHELL,grsf:Canada_DFO_MITCHELL
SSALMNADINA,unk:Canada-DFO-NADINA,grsf:Canada_DFO_NADINA
SSALMNADINAC,unk:Canada-DFO-NADINAC,grsf:Canada_DFO_NADINAC
SSALMNAHANTLATCH,unk:Canada-DFO-NAHANTLATCH,grsf:Canada_DFO_NAHANTLATCH
SSALMNASS,unk:Canada-DFO-NASS,grsf:Canada_DFO_NASS
PSALMNKINGCOME,unk:Canada-DFO-NKINGCOME,grsf:Canada_DFO_NKINGCOME
SSALMOWIKENOL,unk:Canada-DFO-OWIKENOL,grsf:Canada_DFO_OWIKENOL
SSALMPITT,unk:Canada-DFO-PITT,grsf:Canada_DFO_PITT
SSALMPORTAGE,unk:Canada-DFO-PORTAGE,grsf:Canada_DFO_PORTAGE
PSALMQUATR,unk:Canada-DFO-QUATR,grsf:Canada_DFO_QUATR
SSALMRAFT,unk:Canada-DFO-RAFT,grsf:Canada_DFO_RAFT
SSALMSCOTCH,unk:Canada-DFO-SCOTCH,grsf:Canada_DFO_SCOTCH
PSALMSECHELT,unk:Canada-DFO-SECHELT,grsf:Canada_DFO_SECHELT
PSALMSETONA,unk:Canada-DFO-SETONA,grsf:Canada_DFO_SETONA
SSALMSEYMOUR,unk:Canada-DFO-SEYMOUR,grsf:Canada_DFO_SEYMOUR
SSALMSHUSWAP,unk:Canada-DFO-SHUSWAP,grsf:Canada_DFO_SHUSWAP
SSALMSKEENA,unk:Canada-DFO-SKEENA,grsf:Canada_DFO_SKEENA
PSALMSKEENALR,unk:Canada-DFO-SKEENALR,grsf:Canada_DFO_SKEENALR
SSALMSKIDEGATE,unk:Canada-DFO-SKIDEGATE,grsf:Canada_DFO_SKIDEGATE
PSALMSLIAMMON,unk:Canada-DFO-SLIAMMON,grsf:Canada_DFO_SLIAMMON
PSALMSQUAMISH,unk:Canada-DFO-SQUAMISH,grsf:Canada_DFO_SQUAMISH
SSALMSTELLAKO,unk:Canada-DFO-STELLAKO,grsf:Canada_DFO_STELLAKO
PSALMSUNDC,unk:Canada-DFO-SUNDC,grsf:Canada_DFO_SUNDC
PSALMSUTILC,unk:Canada-DFO-SUTILC,grsf:Canada_DFO_SUTILC
SSALMTASEKO,unk:Canada-DFO-TASEKO,grsf:Canada_DFO_TASEKO
PSALMTHOMPSON,unk:Canada-DFO-THOMPSON,grsf:Canada_DFO_THOMPSON
PSALMTOBAI,unk:Canada-DFO-TOBAI,grsf:Canada_DFO_TOBAI
PSALMVANCI,unk:Canada-DFO-VANCI,grsf:Canada_DFO_VANCI
SSALMWEAVER,unk:Canada-DFO-WEAVER,grsf:Canada_DFO_WEAVER
SSALMWEAVERC,unk:Canada-DFO-WEAVERC,grsf:Canada_DFO_WEAVERC
SSALMYAKOUN,unk:Canada-DFO-YAKOUN,grsf:Canada_DFO_YAKOUN
PANCHCCH,unk:Chile-SUBPESCA-CH-C,grsf:Chile_SUBPESCA_CH_C
PANCHCSCH,unk:Chile-SUBPESCA-CH-CS,grsf:Chile_SUBPESCA_CH_CS
NSHRIMPCSCH,unk:Chile-SUBPESCA-CH-CS,grsf:Chile_SUBPESCA_CH_CS
YNOSESKACSCH,unk:Chile-SUBPESCA-CH-CS,grsf:Chile_SUBPESCA_CH_CS
BSQLOBSTERCSCH,unk:Chile-SUBPESCA-CH-CS,grsf:Chile_SUBPESCA_CH_CS
RSQLOBSTERCSCH,unk:Chile-SUBPESCA-CH-CS,grsf:Chile_SUBPESCA_CH_CS
CSARDCSCH,unk:Chile-SUBPESCA-CH-CS,grsf:Chile_SUBPESCA_CH_CS
PANCHNCHSP,unk:Chile-SUBPESCA-NCH-SP,grsf:Chile_SUBPESCA_NCH_SP
PATGRENADIERCH,unk:Chile-SUBPESCA-CH-CS,grsf:CHL_EEZ_GRM
PCEELCSCH,unk:Chile-SUBPESCA-CH-CS,grsf:CHL_EEZ_NPDA_CUS
SBWHITCH,unk:Chile-SUBPESCA-CH-CS,grsf:CHL_EEZ_SEP_POS
PCEELSCH,unk:Chile-SUBPESCA-CH-S,grsf:CHL_EEZ_SPDA_CUS
BIGHTREDSE,unk:Australia-AFMA-SE,grsf:CSIRO_BIGHTREDSE_1958_2007_FULTON
DEEPFLATHEADSE,unk:Australia-AFMA-SE,grsf:CSIRO_DEEPFLATHEADSE_1978_2007_FULTON
GEMFISHSE,unk:Australia-AFMA-SE,grsf:CSIRO_GEMFISHSE_1966_2007_FULTON
MORWONGSE,unk:Australia-AFMA-SE,grsf:CSIRO_MORWONGSE_1913_2007_FULTON
NZLINGESE,unk:Australia-AFMA-SE,grsf:CSIRO_NZLINGESE_1968_2007_FULTON
NZLINGWSE,unk:Australia-AFMA-WSE,grsf:CSIRO_NZLINGWSE_1968_2007_FULTON
OROUGHYCASCADE,unk:Australia-AFMA-CASCADE,grsf:CSIRO_OROUGHYCASCADE_1987_2006_FULTON
OROUGHYSE,unk:Australia-AFMA-SE,grsf:CSIRO_OROUGHYSE_1978_2007_FULTON
SILVERFISHSE,unk:Australia-AFMA-SE,grsf:CSIRO_SILVERFISHSE_1978_2006_FULTON
SWHITSE,unk:Australia-AFMA-SE,grsf:CSIRO_SWHITSE_1945_2007_FULTON
TIGERFLATSE,unk:Australia-AFMA-SE,grsf:CSIRO_TIGERFLATSE_1913_2006_FULTON
WAREHOUESE,unk:Australia-AFMA-ESE,grsf:CSIRO_WAREHOUESE_1984_2006_FULTON
WAREHOUWSE,unk:Australia-AFMA-WSE,grsf:CSIRO_WAREHOUWSE_1984_2006_FULTON
APOLLPJPN,unk:Japan-FAJ-PJPN,grsf:FAJ_APOLLPJPN_1975_2014_KUROTA
BMACKECS,unk:Japan-FAJ-ECS,grsf:FAJ_BMACKECS_1992_2014_KUROTA
BMACKPJPN,unk:Japan-FAJ-PJPN,grsf:FAJ_BMACKPJPN_1982_2014_KUROTA
BRMSOJ,unk:Japan-FAJ-SOJ,grsf:FAJ_BRMSOJ_1980_2010_ONO
CMACKPJPN,unk:Japan-FAJ-PJPN,grsf:FAJ_CMACKPJPN_1970_2009_ONO
CMACKTSST,unk:Japan-FAJ-TSST,grsf:FAJ_CMACKTSST_1973_2014_KUROTA
JANCHOPJPN,unk:Japan-FAJ-PJPN,grsf:FAJ_JANCHOPJPN_1978_2014_KUROTA
JANCHOSETO,unk:Japan-FAJ-SETO,grsf:FAJ_JANCHOSETO_1955_2014_KUROTA
JANCHOTSST,unk:Japan-FAJ-TSST,grsf:FAJ_JANCHOTSST_1977_2014_KUROTA
JMACKPJPN,unk:Japan-FAJ-PJPN,grsf:FAJ_JMACKPJPN_1982_2009_ONO
JMACKTSST,unk:Japan-FAJ-TSST,grsf:FAJ_JMACKTSST_1973_2010_ONO
OFLOUNECS,unk:Japan-FAJ-ECS,grsf:FAJ_OFLOUNECS_1986_2010_ONO
OFLOUNNSJ,unk:Japan-FAJ-NSJ,grsf:FAJ_OFLOUNNSJ_1999_2010_ONO
OFLOUNPAC,unk:Japan-FAJ-PAC,grsf:FAJ_OFLOUNPAC_1990_2009_ONO
OFLOUNSETO,unk:Japan-FAJ-SETO,grsf:FAJ_OFLOUNSETO_1987_2010_ONO
PILCHPJPN,unk:Japan-FAJ-PJPN,grsf:FAJ_PILCHPJPN_1976_2009_ONO
PILCHTSST,unk:Japan-FAJ-TSST,grsf:FAJ_PILCHTSST_1960_2010_ONO
RBRMECS,unk:Japan-FAJ-ECS,grsf:FAJ_RBRMECS_1969_2010_ONO
RBRMSETOE,unk:Japan-FAJ-SETOE,grsf:FAJ_RBRMSETOE_1977_2010_ONO
RBRMSETOW,unk:Japan-FAJ-SETOW,grsf:FAJ_RBRMSETOW_1977_2010_ONO
RHERRTSST,unk:Japan-FAJ-TSST,grsf:FAJ_RHERRTSST_1975_2014_KUROTA
SPANMACKSETO,unk:Japan-FAJ-SETO,grsf:FAJ_SPANMACKSETO_1987_2010_ONO
STMARLINWCNPAC,unk:multinational-ISC-WCNPAC,grsf:ISC_STMARLINWCNPAC_1951_2010_CHING
SNOWCRABESJ,unk:Japan-FAJ-ESJ,grsf:Japan_FAJ_ESJ
PCODHOKK,unk:Japan-FAJ-HOKK,grsf:Japan_FAJ_HOKK
HERRHOKK,unk:Japan-FAJ-HOKK,grsf:Japan_FAJ_HOKK
SNOWCRABHOKK,unk:Japan-FAJ-HOKK,grsf:Japan_FAJ_HOKK
CSALMHSCH,unk:Japan-FAJ-HSCH,grsf:Japan_FAJ_HSCH
CSALMHSCW,unk:Japan-FAJ-HSCW,grsf:Japan_FAJ_HSCW
PSALMHSPH,unk:Japan-FAJ-HSPH,grsf:Japan_FAJ_HSPH
PSALMHSPW,unk:Japan-FAJ-HSPW,grsf:Japan_FAJ_HSPW
SSALMHSSH,unk:Japan-FAJ-HSSH,grsf:Japan_FAJ_HSSH
SSALMHSSW,unk:Japan-FAJ-HSSW,grsf:Japan_FAJ_HSSW
JPUFFIMKB,unk:Japan-FAJ-IMKB,grsf:Japan_FAJ_IMKB
PSANDLIMKB,unk:Japan-FAJ-IMKB,grsf:Japan_FAJ_IMKB
SHAKOIMKB,unk:Japan-FAJ-IMKB,grsf:Japan_FAJ_IMKB
WSCONGIMKB,unk:Japan-FAJ-IMKB,grsf:Japan_FAJ_IMKB
CSALMJCCH,unk:Japan-FAJ-JCCH,grsf:Japan_FAJ_JCCH
PSALMJCPH,unk:Japan-FAJ-JCPH,grsf:Japan_FAJ_JCPH
PSALMJCPW,unk:Japan-FAJ-JCPW,grsf:Japan_FAJ_JCPW
JCSQUIDJPNAR,unk:Japan-FAJ-JPNAR,grsf:Japan_FAJ_JPNAR
JCSQUIDJPNWR,unk:Japan-FAJ-JPNWR,grsf:Japan_FAJ_JPNWR
ARGREENNEMS,unk:Japan-FAJ-NEMS,grsf:Japan_FAJ_NEMS
APOLLNEMS,unk:Japan-FAJ-NEMS,grsf:Japan_FAJ_NEMS
ARGREENNHOKK,unk:Japan-FAJ-NHOKK,grsf:Japan_FAJ_NHOKK
PHFLOUNNHOKK,unk:Japan-FAJ-NHOKK,grsf:Japan_FAJ_NHOKK
YSFLOUNNHOKK,unk:Japan-FAJ-NHOKK,grsf:Japan_FAJ_NHOKK
KCROCKNPAC,unk:Japan-FAJ-NPAC,grsf:Japan_FAJ_NPAC
PCODNPAC,unk:Japan-FAJ-NPAC,grsf:Japan_FAJ_NPAC
RSSOLENPAC,unk:Japan-FAJ-NPAC,grsf:Japan_FAJ_NPAC
SNOWCRABNPAC,unk:Japan-FAJ-NPAC,grsf:Japan_FAJ_NPAC
WLFLOUNNPAC,unk:Japan-FAJ-NPAC,grsf:Japan_FAJ_NPAC
YGSFISHNPAC,unk:Japan-FAJ-NPAC,grsf:Japan_FAJ_NPAC
SSANDNSJ,unk:Japan-FAJ-NSJ,grsf:Japan_FAJ_NSJ
APOLLNSJ,unk:Japan-FAJ-NSJ,grsf:Japan_FAJ_NSJ
CJOBOKWI,unk:Japan-FAJ-OKWI,grsf:Japan_FAJ_OKWI
FSNAPOKWI,unk:Japan-FAJ-OKWI,grsf:Japan_FAJ_OKWI
JSNAPOKWI,unk:Japan-FAJ-OKWI,grsf:Japan_FAJ_OKWI
LJOBOKWI,unk:Japan-FAJ-OKWI,grsf:Japan_FAJ_OKWI
DSSMELTPAC,unk:Japan-FAJ-PAC,grsf:Japan_FAJ_PAC
LCODLINGPAC,unk:Japan-FAJ-PAC,grsf:Japan_FAJ_PAC
RHERRPAC,unk:Japan-FAJ-PAC,grsf:Japan_FAJ_PAC
SPSQUIDPAC,unk:Japan-FAJ-PAC,grsf:Japan_FAJ_PAC
ARGREENSHOKK,unk:Japan-FAJ-SHOKK,grsf:Japan_FAJ_SHOKK
KCROCKSWHOKK,unk:Japan-FAJ-SWHOKK,grsf:Japan_FAJ_SWHOKK
PSLANCESYS,unk:Japan-FAJ-SYS,grsf:Japan_FAJ_SYS
